日期,代號,均線,法人,收盤價
2026-04-14,9921.TW,-1,0,68.8
2026-04-15,9921.TW,-1,0,68.3
2026-04-13,6768.TW,-1,0,81.1
2026-04-14,6768.TW,-1,0,81.9
2026-04-15,6768.TW,-1,0,83.2
2026-04-13,5306.TW,-1,0,85.1
2026-04-14,5306.TW,-1,0,84.7
2026-04-15,5306.TW,-1,0,84.6
2026-04-13,1439.TW,-1,0,27.4
2026-04-14,1439.TW,-1,0,27.4
2026-04-15,1439.TW,-1,0,27.35
2026-04-13,8478.TW,1,0,170.5
2026-04-14,8478.TW,1,0,169.0
2026-04-15,8478.TW,1,0,168.0
2026-04-13,2640.TWO,1,0,181.0
2026-04-14,2640.TWO,1,0,178.0
2026-04-15,2640.TWO,1,0,180.5
2026-04-13,8087.TWO,1,0,36.2
2026-04-14,8087.TWO,1,0,37.45
2026-04-15,8087.TWO,1,0,35.75
2026-04-13,8390.TWO,-1,0,91.4
2026-04-14,8390.TWO,-1,0,91.3
2026-04-15,8390.TWO,-1,0,91.5
2026-04-13,5205.TWO,-1,0,28.55
2026-04-14,5205.TWO,1,0,28.95
2026-04-15,5205.TWO,-1,0,27.95
2026-04-13,6811.TWO,-1,0,186.0
2026-04-14,6811.TWO,1,0,191.0
2026-04-15,6811.TWO,1,0,193.0
2026-04-13,8924.TWO,1,0,67.9
2026-04-14,8924.TWO,1,0,68.0
2026-04-15,8924.TWO,1,0,67.8
2026-04-13,3551.TWO,-1,0,174.5
2026-04-14,3551.TWO,1,0,191.0
2026-04-15,3551.TWO,1,0,194.0
2026-04-13,4530.TWO,-1,0,28.1
2026-04-14,4530.TWO,-1,0,28.3
2026-04-15,4530.TWO,-1,0,27.5
2026-04-13,8928.TWO,-1,0,22.55
2026-04-14,8928.TWO,-1,0,22.95
2026-04-15,8928.TWO,-1,0,22.8
2026-04-13,6123.TWO,-1,0,42.4
2026-04-14,6123.TWO,-1,0,42.05
2026-04-15,6123.TWO,-1,0,42.0
2026-04-13,8171.TWO,-1,0,24.25
2026-04-14,8171.TWO,-1,0,24.15
2026-04-15,8171.TWO,-1,0,24.0
2026-04-13,6865.TWO,1,0,35.85
2026-04-14,6865.TWO,1,0,36.55
2026-04-15,6865.TWO,-1,0,35.55
2026-04-13,6903.TWO,1,0,403.5
2026-04-14,6903.TWO,1,0,389.5
2026-04-15,6903.TWO,1,0,394.0
2026-04-13,7751.TWO,1,0,1960.0
2026-04-14,7751.TWO,1,0,1955.0
2026-04-15,7751.TWO,1,0,1965.0
2026-04-13,6999.TWO,-1,0,29.45
2026-04-14,6999.TWO,-1,0,29.0
2026-04-15,6999.TWO,-1,0,28.1
2026-04-13,6739.TWO,1,0,1510.0
2026-04-14,6739.TWO,1,0,1480.0
2026-04-15,6739.TWO,1,0,1625.0
2026-04-10,6997.TWO,1,0,82.4
2026-04-13,6997.TWO,1,0,82.4
2026-04-14,6997.TWO,1,0,83.5
2026-04-13,6873.TW,-1,0,84.6
2026-04-14,6873.TW,-1,0,86.5
2026-04-15,6873.TW,-1,0,86.5
2026-04-13,6969.TW,-1,0,28.3
2026-04-14,6969.TW,1,0,29.45
2026-04-15,6969.TW,1,0,29.3
2026-04-13,2254.TW,-1,0,68.9
2026-04-14,2254.TW,-1,0,68.9
2026-04-15,2254.TW,1,0,69.8
2026-04-13,6924.TW,1,0,80.0
2026-04-14,6924.TW,1,0,79.9
2026-04-15,6924.TW,1,0,80.0
2026-04-13,6902.TW,1,0,77.4
2026-04-14,6902.TW,1,0,77.7
2026-04-15,6902.TW,1,0,85.4
2026-04-13,6951.TW,1,0,79.3
2026-04-14,6951.TW,1,0,79.9
2026-04-15,6951.TW,1,0,79.6
2026-04-13,2432.TW,1,0,27.45
2026-04-14,2432.TW,1,0,28.0
2026-04-15,2432.TW,1,0,28.0
2026-04-13,9103.TW,-1,0,4.95
2026-04-14,9103.TW,-1,0,4.93
2026-04-15,9103.TW,-1,0,4.97
2026-04-13,8162.TW,1,0,42.55
2026-04-14,8162.TW,1,0,42.5
2026-04-15,8162.TW,1,0,42.4
2026-04-13,8487.TW,1,0,79.9
2026-04-14,8487.TW,-1,0,79.6
2026-04-15,8487.TW,1,0,80.0
2026-04-13,9110.TW,-1,0,3.1
2026-04-14,9110.TW,-1,0,2.93
2026-04-15,9110.TW,-1,0,2.95
2026-04-13,9105.TW,-1,0,5.34
2026-04-14,9105.TW,-1,0,5.34
2026-04-15,9105.TW,-1,0,5.36
2026-04-13,9136.TW,-1,0,8.99
2026-04-14,9136.TW,-1,0,9.24
2026-04-15,9136.TW,-1,0,9.39
2026-04-13,7714.TWO,-1,0,127.0
2026-04-14,7714.TWO,-1,0,128.5
2026-04-15,7714.TWO,-1,0,130.5
2026-04-13,7715.TWO,-1,0,28.95
2026-04-14,7715.TWO,-1,0,29.0
2026-04-15,7715.TWO,-1,0,28.9
2026-04-13,4749.TWO,1,0,919.0
2026-04-14,4749.TWO,1,0,919.0
2026-04-15,4749.TWO,1,0,913.0
2026-04-13,6902.TW,1,0,77.4
2026-04-14,6902.TW,1,0,77.7
